,종목,현재가,전일비,등락률,거래량,거래대금
0,KODEX 200선물인버스2X,2285.0,하락,-2.14,84957046.0,196515.0
1,KODEX 코스닥150선물인버스,3700.0,하락,-3.14,31238448.0,117819.0
2,한국패러랠,204.0,상한가,29.94,21262045.0,3948.0
3,KODEX 코스닥150레버리지,8815.0,상승,6.4,19513318.0,166190.0
4,KODEX 인버스,4485.0,하락,-0.99,10101834.0,45583.0
5,KODEX 레버리지,16040.0,상승,1.97,7600540.0,120701.0
6,티웨이홀딩스,839.0,상승,1.7,7520762.0,6548.0
7,삼성전자,59000.0,상승,1.2,6584441.0,387806.0
8,TIGER 200선물인버스2X,2415.0,하락,-2.42,6210921.0,15192.0
9,티웨이항공,3325.0,상승,4.72,5405756.0,18148.0
10,삼성 인버스 2X 코스닥150 선물 ETN,6320.0,하락,-6.09,4551441.0,29914.0
11,KODEX 코스닥150,12780.0,상승,3.15,3947596.0,49651.0
12,KODEX 2차전지산업레버리지,2495.0,상승,5.5,3833784.0,9250.0
13,일신석재,1325.0,하락,-5.96,3357051.0,4497.0
14,YG PLUS,5090.0,하락,-7.29,3004368.0,15843.0
15,삼성 인버스 2X WTI원유 선물 ETN,93.0,하락,-1.06,2870608.0,268.0
16,두산에너빌리티,19600.0,하락,-1.9,2390609.0,47055.0
17,미래산업,1278.0,상승,2.65,2202219.0,2761.0
18,TIGER 미국S&P500,19510.0,하락,-0.56,1957665.0,38260.0
19,TIGER 2차전지TOP10레버리지,2500.0,상승,4.6,1802441.0,4363.0
20,TIGER 코리아밸류업,9770.0,상승,1.03,1781182.0,17314.0
21,N2 블룸버그 2X 천연가스 선물 ETN(H),204.0,하락,-9.33,1688897.0,348.0
22,TIGER 2차전지소재Fn,6030.0,상승,5.98,1536692.0,9059.0
23,한미사이언스,37450.0,상승,3.31,1505179.0,57551.0
24,제주항공,9920.0,상승,8.3,1369798.0,13773.0
25,삼성 레버리지 천연가스 선물 ETN C,2980.0,하락,-8.17,1327286.0,3958.0
26,KODEX 200,34225.0,상승,1.12,1264322.0,43043.0
27,삼부토건,492.0,하락,-0.61,1249123.0,616.0
28,DRB동일,5450.0,상승,12.84,1226976.0,6708.0
29,KODEX 2차전지산업,17110.0,상승,3.2,1218491.0,20473.0
30,DS단석,101100.0,상승,4.77,1213234.0,124549.0
31,한국ANKOR유전,372.0,상승,1.09,1170009.0,441.0
32,GS글로벌,3210.0,상승,4.05,1168098.0,3714.0
33,TIGER 2차전지TOP10,11140.0,상승,2.34,1125230.0,12352.0
34,대한항공,24400.0,상승,3.39,1071896.0,26051.0
35,인스코비,1442.0,하락,-5.32,956237.0,1403.0
36,신송홀딩스,7950.0,하락,-3.87,907360.0,7353.0
37,KTcs,2850.0,상승,1.97,887813.0,2585.0
38,SK증권,510.0,상승,0.59,881096.0,447.0
39,ACE 미국30년국채액티브(H),8255.0,하락,-1.08,837750.0,6918.0
40,전진건설로봇,20250.0,하락,-10.4,796036.0,16328.0
41,한화솔루션,22700.0,상승,5.58,781893.0,17470.0
42,TIGER 화장품,2820.0,상승,1.99,781419.0,2183.0
43,한화인더스트리얼솔루션즈,44150.0,상승,2.56,766449.0,33424.0
44,SK하이닉스,188200.0,상승,3.29,751381.0,139525.0
45,현대약품,4080.0,상승,1.37,744160.0,3073.0
46,미래에셋 인버스 2X 코스닥150 선물 ETN,6325.0,하락,-6.23,725279.0,4802.0
47,이수페타시스,35350.0,상승,1.0,693953.0,24205.0
48,삼성중공업,9540.0,상승,0.74,667276.0,6336.0
49,하이트론,3585.0,하락,-1.24,664246.0,2417.0
50,하나투어,51700.0,상승,7.71,662584.0,35661.0
51,TIGER 200,34275.0,상승,1.17,655514.0,22320.0
52,유한양행,138400.0,상승,2.67,630481.0,85809.0
53,TIGER 미국30년국채커버드콜액티브(H),8975.0,하락,-1.1,619200.0,5556.0
54,동양철관,740.0,상승,3.21,616658.0,453.0
55,플레이그램,376.0,하락,-0.27,608572.0,230.0
56,롯데관광개발,9530.0,하락,-0.21,585626.0,5732.0
57,에이프로젠,1096.0,상승,1.48,550930.0,600.0
58,TIGER 리츠부동산인프라,4240.0,하락,-0.47,532835.0,2262.0
59,TIGER 여행레저,3140.0,상승,2.11,518889.0,1638.0
60,KODEX 미국S&P500TR,17900.0,하락,-0.5,509744.0,9135.0
61,한국전력,23000.0,하락,-0.22,500071.0,11504.0
62,기아,96700.0,상승,2.55,489745.0,47227.0
63,한화시스템,17780.0,상승,1.77,486177.0,8588.0
64,에코프로머티,120200.0,상승,7.23,478599.0,56603.0
65,한국가스공사,39400.0,상승,4.37,472249.0,18344.0
66,한화투자증권,3320.0,하락,-1.48,454156.0,1495.0
67,KODEX 바이오,8610.0,상승,1.41,449085.0,3808.0
68,TIGER 코스닥150선물인버스,3750.0,하락,-3.1,424154.0,1615.0
69,퍼스텍,3080.0,하락,-2.99,418648.0,1303.0
70,TIMEFOLIO K바이오액티브,12225.0,상승,2.22,412976.0,4935.0
71,넥스틸,9080.0,상승,3.77,407500.0,3724.0
72,TIGER 미국배당다우존스,12290.0,하락,-1.21,400277.0,4928.0
73,TIGER 미국배당다우존스타겟커버드콜2호,10510.0,하락,-1.22,394651.0,4161.0
74,KODEX 미국30년국채타겟커버드콜(합성 H),9795.0,하락,-1.16,394134.0,3862.0
75,백광산업,10500.0,상승,5.42,391541.0,4120.0
76,TIGER 200 에너지화학,10935.0,상승,0.74,379773.0,4102.0
77,에어부산,2410.0,상승,3.43,376499.0,927.0
78,KODEX 코리아밸류업,9715.0,상승,1.09,375596.0,3628.0
79,SOL 조선TOP3플러스,11710.0,상승,0.04,364242.0,4245.0
80,RISE 미국30년국채엔화노출(합성 H),8635.0,하락,-1.54,362359.0,3135.0
81,신한지주,54500.0,상승,0.93,361767.0,19620.0
82,KB금융,90500.0,하락,-1.42,346308.0,31246.0
83,한온시스템,3995.0,하락,-0.25,340857.0,1362.0
84,비상교육,6400.0,상승,7.93,328998.0,2071.0
85,호텔신라,41100.0,하락,-5.73,326650.0,13378.0
86,한올바이오파마,42800.0,상승,1.9,323697.0,13568.0
87,우리금융지주,15700.0,하락,-0.32,322464.0,5053.0
88,RISE 2차전지TOP10인버스(합성),26690.0,하락,-4.27,315358.0,8593.0
89,현대로템,60700.0,하락,-1.3,314626.0,19244.0
90,TIGER 미국필라델피아반도체나스닥,18135.0,하락,-0.08,311745.0,5667.0
91,한국항공우주,56600.0,하락,-1.74,310993.0,17647.0
92,KODEX 미국달러선물인버스2X,5860.0,상승,1.12,304119.0,1775.0
93,흥아해운,1899.0,상승,1.12,303088.0,571.0
94,KODEX 2차전지핵심소재10,6185.0,상승,5.01,302933.0,1820.0
95,진에어,11530.0,상승,4.63,301682.0,3482.0
96,팬오션,3555.0,하락,-0.14,300190.0,1068.0
97,유진투자증권,3790.0,상승,0.13,292956.0,1099.0
98,키다리스튜디오,4185.0,상승,1.82,291051.0,1211.0
99,기업은행,14280.0,하락,-0.56,287700.0,4092.0
